/home/watermango/github/mower-perception/.venv/lib/python3.10/site-packages/torch/nn/functional.py:3561: UserWarning: nll_loss2d_forward_out_cuda_template does not have a deterministic implementation, but you set 'torch.use_deterministic_algorithms(True, warn_only=True)'. You can file an issue at https://github.com/pytorch/pytorch/issues to help us prioritize adding deterministic support for this operation. (Triggered internally at /__w/pytorch/pytorch/aten/src/ATen/Context.cpp:186.)
  return torch._C._nn.cross_entropy_loss(
{"epoch": 21, "optimizer_steps": 1659, "train_loss": 0.03265108768844067, "val_loss": 0.47091734778768646, "val_iou": 0.379015633886624, "val_counts": {"tp": 5075365, "fp": 2682571, "fn": 5632976, "tn": 43397332}, "lr": 0.00025750000000000013, "seconds": 15.123883127002046}
{"epoch": 22, "optimizer_steps": 1738, "train_loss": 0.031247709512493376, "val_loss": 0.515856388119696, "val_iou": 0.3411557262561571, "val_counts": {"tp": 4325421, "fp": 1970388, "fn": 6382920, "tn": 44109515}, "lr": 0.00021404630011522585, "seconds": 14.952190129999508}
{"epoch": 23, "optimizer_steps": 1817, "train_loss": 0.02993074729658932, "val_loss": 0.5073716533654395, "val_iou": 0.37000970183636694, "val_counts": {"tp": 4822564, "fp": 2325274, "fn": 5885777, "tn": 43754629}, "lr": 0.00017378034985236535, "seconds": 18.060915566002222}
{"epoch": 24, "optimizer_steps": 1896, "train_loss": 0.029291175041413493, "val_loss": 0.5406265550093431, "val_iou": 0.3530017423992847, "val_counts": {"tp": 4538943, "fp": 2149791, "fn": 6169398, "tn": 43930112}, "lr": 0.00013714331138868998, "seconds": 20.217842836998898}
{"epoch": 25, "optimizer_steps": 1975, "train_loss": 0.028484358866633627, "val_loss": 0.5337632341871673, "val_iou": 0.36231251505912754, "val_counts": {"tp": 4729162, "fp": 2344374, "fn": 5979179, "tn": 43735529}, "lr": 0.00010453658778440108, "seconds": 20.341397530002723}
{"epoch": 26, "optimizer_steps": 2054, "train_loss": 0.0279656408781964, "val_loss": 0.5404391416601999, "val_iou": 0.3609167755385451, "val_counts": {"tp": 4734734, "fp": 2410290, "fn": 5973607, "tn": 43669613}, "lr": 7.631742512670285e-05, "seconds": 20.499841050001123}
{"epoch": 27, "optimizer_steps": 2133, "train_loss": 0.02785249322163228, "val_loss": 0.5309502372533301, "val_iou": 0.3705957438423136, "val_counts": {"tp": 4870907, "fp": 2435110, "fn": 5837434, "tn": 43644793}, "lr": 5.279499846691252e-05, "seconds": 19.76081404100114}
{"epoch": 28, "optimizer_steps": 2212, "train_loss": 0.02802580407323327, "val_loss": 0.5175378788565816, "val_iou": 0.3804120287467773, "val_counts": {"tp": 5075358, "fp": 2633398, "fn": 5632983, "tn": 43446505}, "lr": 3.4227024433899005e-05, "seconds": 20.50952967199919}
{"epoch": 29, "optimizer_steps": 2291, "train_loss": 0.02679253016953977, "val_loss": 0.5300495600814845, "val_iou": 0.36699913533491024, "val_counts": {"tp": 4802972, "fp": 2378807, "fn": 5905369, "tn": 43701096}, "lr": 2.0816937636766188e-05, "seconds": 19.675725387998682}
{"epoch": 30, "optimizer_steps": 2370, "train_loss": 0.027463295057554217, "val_loss": 0.5322413209325507, "val_iou": 0.3652695232119024, "val_counts": {"tp": 4752269, "fp": 2301967, "fn": 5956072, "tn": 43777936}, "lr": 1.2711661792704668e-05, "seconds": 20.526387917001557}
